
==========Welcome to the Peg Solirtaire Simulator==========
              2026 AI 801 Section 001: Group 5

SHALL WE PLAY A GAME?
1. Simulate Peg Solitaire
2. Simulate Peg Duotaire
3. Run Test Bench
4. User Plays Peg Duotaire
5. Launch GUI
Your choice: Running Test Bench...
Select test type: 
1. Compare Performance of Search Algorithms
2. Compare Performance of Game Algorithms
3. Compare Performance of Dict and Bitmask Data Structures
4. Compare Performance of Different Direction Orders

depth_first_bfs on Triangle board
   1.48 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Southeast', 'Northeast', 'Northwest', 'West', 'Southwest']
   1.49 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Southeast', 'Northeast', 'Northwest', 'Southwest', 'West']
   1.47 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Southeast', 'Northwest', 'West', 'Southwest', 'Northeast']
   1.50 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Southeast', 'Northwest', 'West', 'Northeast', 'Southwest']
   1.52 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Southeast', 'Northwest', 'Southwest', 'West', 'Northeast']
   1.47 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Southeast', 'Northwest', 'Southwest', 'Northeast', 'West']
   1.48 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Southeast', 'Northwest', 'Northeast', 'West', 'Southwest']
   1.54 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Southeast', 'Northwest', 'Northeast', 'Southwest', 'West']
   1.97 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'Southwest', 'West', 'Southeast', 'Northeast', 'Northwest']
   1.97 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'Southwest', 'West', 'Southeast', 'Northwest', 'Northeast']
   2.01 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'Southwest', 'West', 'Northeast', 'Southeast', 'Northwest']
   2.19 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'Southwest', 'West', 'Northeast', 'Northwest', 'Southeast']
   1.97 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'Southwest', 'West', 'Northwest', 'Southeast', 'Northeast']
   2.09 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'Southwest', 'West', 'Northwest', 'Northeast', 'Southeast']
   1.89 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'Southwest', 'Southeast', 'West', 'Northeast', 'Northwest']
   1.75 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'Southwest', 'Southeast', 'West', 'Northwest', 'Northeast']
   1.76 ms       494 nodes |      253 goal |   13 cost |     265 actions | Triangle ['East', 'Southwest', 'Southeast', 'Northeast', 'West', 'Northwest']
   1.48 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Southwest', 'Southeast', 'Northeast', 'Northwest', 'West']
   1.47 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Southwest', 'Southeast', 'Northwest', 'West', 'Northeast']
   1.50 ms       407 nodes |      215 goal |   13 cost |     227 actions | Triangle ['East', 'Southwest', 'Southeast', 'Northwest', 'Northeast', 'West']
